Index-Category,Organization,Person
American Federation of Labor and Affiliated Bodies,Lithographers' International Protective and Beneficial Association of the United States and Canada (Amalgamated Lithographers),"Shakespeare, Philip C."
American Federation of Labor and Affiliated Bodies,"Longshoremen's Association, International","Chlopek, Anthony J."
American Federation of Labor and Affiliated Bodies,"Longshoremen's Association, International","Joyce, John J."
American Federation of Labor and Affiliated Bodies,"Longshoremen's Association, International","Miliner, George W."
American Federation of Labor and Affiliated Bodies,"Longshoremen's Association, International","O'Brien, Simon P."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Anderson, John F."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Bait, Dennis E."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Beyer, Otto, Jr."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Brown, Harvey W."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Carr, Harry J."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Collins, John M."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Conlon, Peter J."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of",Connolly. John J.
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Davison, Emmett C."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Fechner, Robert"
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Hannon, William P."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Hewitt, Fred"
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Hotchkiss, Edw. C."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Johnston, Wm. H."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Knudsen, Wm. R."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Luther, Archie E."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","McClelland, John A."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","McMahon, Martin J."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Murphy, Parker F."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Nickerson, Harley F."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","O'Connell, James"
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Schleifer, Ernst. "
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Taylor, James A."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Thorpe, John T."
American Federation of Labor and Affiliated Bodies,"Machinists, International Association of","Valentino, John G."
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Carroll, Thomas C."
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Clark, Eugene E."
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Finnson, Finnur"
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Fljozdal, Fred H."
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Gassman, Fred C."
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Hopcraft, Edward J."
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Millman, Elmer E."
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Stout, Albert F."
American Federation of Labor and Affiliated Bodies,"Maintenance of Way Employees and Railway Shop Laborers, United Brotherhood of","Waggoner, John E."
American Federation of Labor and Affiliated Bodies,"Marble, Slate, and Stone Polishers, Rubbers and Sawyers, Tile and Marble Setters' Helpers, International Association of","Hogan, Stephen C."
American Federation of Labor and Affiliated Bodies,"Meat Cutters and Butcher Workmen of North America, Amalgamated","Ackerman, Chas. B."
American Federation of Labor and Affiliated Bodies,"Meat Cutters and Butcher Workmen of North America, Amalgamated","Gorman, Patrick E."
American Federation of Labor and Affiliated Bodies,"Meat Cutters and Butcher Workmen of North America, Amalgamated","Jimerson, Earl W."
American Federation of Labor and Affiliated Bodies,"Meat Cutters and Butcher Workmen of North America, Amalgamated","Lane, Dennis"
American Federation of Labor and Affiliated Bodies,"Meat Cutters and Butcher Workmen of North America, Amalgamated","Roaney, Chas. E."
American Federation of Labor and Affiliated Bodies,Metal Engravers' International Union,"Alstad, Bjarne H."
American Federation of Labor and Affiliated Bodies,Metal Engravers' International Union,"Beach, Norman H."
American Federation of Labor and Affiliated Bodies,"Metal Polishers', International Union",Atherton. Charles R.
American Federation of Labor and Affiliated Bodies,"Metal Polishers', International Union","Britton, William W."
American Federation of Labor and Affiliated Bodies,"Metal Polishers', International Union","Diehl, Herman C."
American Federation of Labor and Affiliated Bodies,"Metal Polishers', International Union","Flynn, John J."
American Federation of Labor and Affiliated Bodies,"Metal Polishers', International Union","Heaphy, Richard A."
American Federation of Labor and Affiliated Bodies,"Metal Polishers', International Union","Werlik, John"
American Federation of Labor and Affiliated Bodies,"Mine, Mill, and Smelter Workers, International Union of","Bordsen, Alfred, S"
American Federation of Labor and Affiliated Bodies,"Mine, Mill, and Smelter Workers, International Union of","Mills, Ernest"
American Federation of Labor and Affiliated Bodies,"Mine, Mill, and Smelter Workers, International Union of","Moyer, Charles H."
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Bosone, Joseph"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United",Brophy. John A.
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Burr, Harry W."
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Cappelini, Rinaldo"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Farrlngton, Frank"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Ghizzoni, John L."
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Golden, Christ"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United",Grabham. Charles H.
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Green, William"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Hall, Lee"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Hardest, William"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Hessler, John"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Kennedy, Thomas"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United",Koch. Anton
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United",Lewis. John L.
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Marianelli, E. C."
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Mates, John J."
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United",McAndrew. James
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United",McGuire. Albert J.
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Mitch, William A."
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Mooney, Fred"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Morgan, James"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Murray, John"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Murray, Philip"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United",Nesbit. Walter
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Pogliano, Felix"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Searles, Ellis"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Steele, Andrew"
American Federation of Labor and Affiliated Bodies,"Mine Workers of America, United","Williams, Enoch"
American Federation of Labor and Affiliated Bodies,"Molders' Union of North America, International","Frey, John P."
American Federation of Labor and Affiliated Bodies,"Molders' Union of North America, International","Keough, Michael J."
American Federation of Labor and Affiliated Bodies,"Molders' Union of North America, International","Kleiber, Victor"
American Federation of Labor and Affiliated Bodies,"Molders' Union of North America, International","McCoy, Robert T."
American Federation of Labor and Affiliated Bodies,"Molders' Union of North America, International","Metcalf, Richard H."
American Federation of Labor and Affiliated Bodies,"Molders' Union of North America, International","Probert, William T."
American Federation of Labor and Affiliated Bodies,"Molders' Union of North America, International","Valentine, Joseph"
American Federation of Labor and Affiliated Bodies,"Musicians, American Federation of","Greenbaum, A. A."
American Federation of Labor and Affiliated Bodies,"Musicians, American Federation of","Hayden, Albert C."
American Federation of Labor and Affiliated Bodies,"Musicians, American Federation of","Kerngood, William J."
American Federation of Labor and Affiliated Bodies,"Musicians, American Federation of","Taylor, C. O."
American Federation of Labor and Affiliated Bodies,"Musicians, American Federation of","Weaver, Chauncey A."
American Federation of Labor and Affiliated Bodies,"Musicians, American Federation of","Weber, Joseph N."
American Federation of Labor and Affiliated Bodies,"Oil Field, Gas Well, and Refinery Workers of America","Coulter, J. L."
American Federation of Labor and Affiliated Bodies,"Oil Field, Gas Well, and Refinery Workers of America","Fremming, H. C."
American Federation of Labor and Affiliated Bodies,"Oil Field, Gas Well, and Refinery Workers of America","Stickel, R. H."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Angleton, Stephen J."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Arends, Henry"
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Hedrick, George F."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Lammert, Chas. L."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Madsen, Christian M."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","McLindon, William R."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Schwarting, Fred. A."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Stewart, Frank A."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Thomas, Henry."
American Federation of Labor and Affiliated Bodies,"Painters, Decorators, and Paperhangers of America, Brotherhood of","Zausner, Philip."
American Federation of Labor and Affiliated Bodies,"Paper Makers, International Brotherhood of","Burns, Matthew J."
American Federation of Labor and Affiliated Bodies,"Paper Makers, International Brotherhood of","Hook, Archie"
American Federation of Labor and Affiliated Bodies,"Paper Makers, International Brotherhood of","Husreins, Arthur"
American Federation of Labor and Affiliated Bodies,"Paper Makers, International Brotherhood of","McLeod, A. F."
American Federation of Labor and Affiliated Bodies,"Paper Makers, International Brotherhood of","Parker, Matthew H."
American Federation of Labor and Affiliated Bodies,"Paper Makers, International Brotherhood of","Schneider, George J."
American Federation of Labor and Affiliated Bodies,Pattern Makers' League of North America,"Cunliffe, William A."
American Federation of Labor and Affiliated Bodies,Pattern Makers' League of North America,"Thomas, Lewelyn R."
American Federation of Labor and Affiliated Bodies,Pattern Makers' League of North America,"Wilson, James"
American Federation of Labor and Affiliated Bodies,"Pavers, Rammermen, Flaglayers, Bridge and Stone Curb Setters, International Union of","Dohorty, T. M."
American Federation of Labor and Affiliated Bodies,"Pavers, Rammermen, Flaglayers, Bridge and Stone Curb Setters, International Union of",Hannah. Edward L.
American Federation of Labor and Affiliated Bodies,Paving Cutters' Union of the United States of America and Canada,"Bergstrom, Carl"
American Federation of Labor and Affiliated Bodies,Paving Cutters' Union of the United States of America and Canada,"Coutts, Gordon"
American Federation of Labor and Affiliated Bodies,Paving Cutters' Union of the United States of America and Canada,"Poole, James"
American Federation of Labor and Affiliated Bodies,Paving Cutters' Union of the United States of America and Canada,"Roberts, C."
American Federation of Labor and Affiliated Bodies,"Photo Engravers' Union of North America, International","Golby, William C."
American Federation of Labor and Affiliated Bodies,"Photo Engravers' Union of North America, International","Horrocks, Charles H."
American Federation of Labor and Affiliated Bodies,"Photo Engravers' Union of North America, International","Schmal, Henry F."
American Federation of Labor and Affiliated Bodies,"Photo Engravers' Union of North America, International","Volz, Edward J."
American Federation of Labor and Affiliated Bodies,"Photo Engravers' Union of North America, International","Woll, Matthew"
American Federation of Labor and Affiliated Bodies,"Piano and Organ Workers' Union of America, International","Fischer, Jacob"
American Federation of Labor and Affiliated Bodies,"Piano and Organ Workers' Union of America, International","Gianandrea, Guetano"
American Federation of Labor and Affiliated Bodies,"Plasterers' International Association of the United States and Canada, Operative","Donlin, John"
American Federation of Labor and Affiliated Bodies,"Plasterers' International Association of the United States and Canada, Operative","Magnani, Peter"
American Federation of Labor and Affiliated Bodies,"Plasterers' International Association of the United States and Canada, Operative","McGivern, Edward J."
American Federation of Labor and Affiliated Bodies,"Plasterers' International Association of the United States and Canada, Operative","Mcllveen, Joseph"
American Federation of Labor and Affiliated Bodies,"Plasterers' International Association of the United States and Canada, Operative","Scully, T. A."
American Federation of Labor and Affiliated Bodies,"Plumbers and Steam Fitters of the United States and Canada, United Association of","Bruce, John W."
American Federation of Labor and Affiliated Bodies,"Plumbers and Steam Fitters of the United States and Canada, United Association of","Burke, Thomas E."
American Federation of Labor and Affiliated Bodies,"Plumbers and Steam Fitters of the United States and Canada, United Association of","Coefield, John"
American Federation of Labor and Affiliated Bodies,"Plumbers and Steam Fitters of the United States and Canada, United Association of","Haines, George T."
American Federation of Labor and Affiliated Bodies,"Plumbers and Steam Fitters of the United States and Canada, United Association of","O'Rourke, Thomas P."
American Federation of Labor and Affiliated Bodies,"Plumbers and Steam Fitters of the United States and Canada, United Association of","Roberts, John H."
American Federation of Labor and Affiliated Bodies,"Post Office Clerks, National Federation of","Flaherty, Thomas F."
American Federation of Labor and Affiliated Bodies,"Post Office Clerks, National Federation of","George, Leo E."
American Federation of Labor and Affiliated Bodies,"Post Office Clerks, National Federation of","Hohmann, William P."
American Federation of Labor and Affiliated Bodies,"Post Office Clerks, National Federation of","Otte, William"
American Federation of Labor and Affiliated Bodies,"Post Office Clerks, National Federation of","Torka, John M."
American Federation of Labor and Affiliated Bodies,"Post Office Clerks, National Federation of","Tulloch, Ethel E."
American Federation of Labor and Affiliated Bodies,"Post Office Clerks, National Federation of","Vickery, Wm. O."
American Federation of Labor and Affiliated Bodies,"Potters, National Brotherhood of Operative","Blake, Will T."
American Federation of Labor and Affiliated Bodies,"Potters, National Brotherhood of Operative","Cartlidge, George H."
American Federation of Labor and Affiliated Bodies,"Potters, National Brotherhood of Operative","Chadwick, Geo. W."
American Federation of Labor and Affiliated Bodies,"Potters, National Brotherhood of Operative","Dennis, Thomas B."
American Federation of Labor and Affiliated Bodies,"Potters, National Brotherhood of Operative","Hull, J. Frank, E."
American Federation of Labor and Affiliated Bodies,"Potters, National Brotherhood of Operative","McGillivray, John D."
American Federation of Labor and Affiliated Bodies,"Potters, National Brotherhood of Operative","Moore, Sheldon M."
American Federation of Labor and Affiliated Bodies,"Potters, National Brotherhood of Operative","Wood, John T., E."
American Federation of Labor and Affiliated Bodies,"Powder and High Explosive Workers of America, United","Bennett, Paul"
American Federation of Labor and Affiliated Bodies,"Powder and High Explosive Workers of America, United","Hawkins, George W."
American Federation of Labor and Affiliated Bodies,"Printers' and Die Stampers' Union of North America, International Plate","Burke, Walter A."
American Federation of Labor and Affiliated Bodies,"Printers' and Die Stampers' Union of North America, International Plate","Coleman, Frank J."
American Federation of Labor and Affiliated Bodies,"Printers' and Die Stampers' Union of North America, International Plate","Goodyear, James E."
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International","Berry, G. L."
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International",Brunei. George
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International",Dunwody.T. E.
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International","Orr, Jos. C."
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International","Peters, Martin L."
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International","Taylor, John T."
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International","Treat, Miner S."
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International",Umstadter. Philip
American Federation of Labor and Affiliated Bodies,"Printing Pressmen's and Assistants' Union of North America, International","Youngs, Fred M."
American Federation of Labor and Affiliated Bodies,"Pulp, Sulphite, and Paper Mill Workers of the United States and Canada, International Brotherhood of","Burke, John P."
American Federation of Labor and Affiliated Bodies,"Pulp, Sulphite, and Paper Mill Workers of the United States and Canada, International Brotherhood of",La Belle. Maurice
American Federation of Labor and Affiliated Bodies,"Pulp, Sulphite, and Paper Mill Workers of the United States and Canada, International Brotherhood of","Launer, S. Edward"
American Federation of Labor and Affiliated Bodies,"Pulp, Sulphite, and Paper Mill Workers of the United States and Canada, International Brotherhood of","Smallwood, Joseph"
American Federation of Labor and Affiliated Bodies,"Pulp, Sulphite, and Paper Mill Workers of the United States and Canada, International Brotherhood of","Sullivan, Herb. W."
American Federation of Labor and Affiliated Bodies,"Pulp, Sulphite, and Paper Mill Workers of the United States and Canada, International Brotherhood of","Wyatt, F."
American Federation of Labor and Affiliated Bodies,Quarry Workers' International Union of North America,"Belville, Walter W."
American Federation of Labor and Affiliated Bodies,Quarry Workers' International Union of North America,"Coxon, John H."
American Federation of Labor and Affiliated Bodies,Quarry Workers' International Union of North America,"Suitor, Fred W."
American Federation of Labor and Affiliated Bodies,Quarry Workers' International Union of North America,"Sullivan, Michael P."
American Federation of Labor and Affiliated Bodies,"Railroad Signalmen of America, Brotherhood of","Austin, Thomas A."
American Federation of Labor and Affiliated Bodies,"Railroad Signalmen of America, Brotherhood of","Givan, Leslie W."
American Federation of Labor and Affiliated Bodies,"Railroad Signalmen of America, Brotherhood of","Griffith, Grant"
American Federation of Labor and Affiliated Bodies,"Railroad Signalmen of America, Brotherhood of","Kelt, Daniel W."
American Federation of Labor and Affiliated Bodies,"Railroad Signalmen of America, Brotherhood of","Mapper, Marshall H."
American Federation of Labor and Affiliated Bodies,"Railroad Signalmen of America, Brotherhood of","Smith, Lee R."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Alexander, H. G."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Brown, Thomas W."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Manion, Edward J."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Miller, Jasper F."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Nason, Bert E."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Pierson, Thos. M."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Robertson, Gideon D."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Ross, Leonard J."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Soyster, George E."
American Federation of Labor and Affiliated Bodies,"Railroad Telegraphers, Order of","Williams, James H."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Braggins, Wilbur F."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of",Cardwell. John C.
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Fitzgerald, Edward H."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Forrester, James J."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Harrison, George M."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Holman, Edd. H. H."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Levi, George S."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Pickett, Austin J."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Shurtleff, Wade"
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Sylvester, John H."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Tiernan, George F."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Wangerin, Otto H."
American Federation of Labor and Affiliated Bodies,"Railway and Steamship Clerks, Freight Handlers, Express and Station Employees, Brotherhood of","Ziegler, Philip"
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","Adames, William J."
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","Broad, Thomas"
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","Buckley, John W."
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","McCreery, J. F."
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of",Mounts. Geo. F.
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","Kyan, Martin F."
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","Spelts, John H."
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","Ware, Edward M."
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","Ware, Robert M."
American Federation of Labor and Affiliated Bodies,"Railway Carmen of America, Brotherhood of","Weeks, Edwin W."
American Federation of Labor and Affiliated Bodies,Railway Mail Association,"Collins, William M."
American Federation of Labor and Affiliated Bodies,Railway Mail Association,"Ross, R. E."
American Federation of Labor and Affiliated Bodies,Railway Mail Association,"Strickland, H. W."
American Federation of Labor and Affiliated Bodies,Retail Clerks' International Protective Association,"Conway, H. J."
American Federation of Labor and Affiliated Bodies,Retail Clerks' International Protective Association,"Despete, W. G."
American Federation of Labor and Affiliated Bodies,"Roofers, Damp, and Waterproof Workers' Association, United Slate, Tile and Composition","Gavlak, Joseph M."
American Federation of Labor and Affiliated Bodies,"Roofers, Damp, and Waterproof Workers' Association, United Slate, Tile and Composition","Jones, George W."
American Federation of Labor and Affiliated Bodies,"Seamen's Union of America, International","Brown, William H."
American Federation of Labor and Affiliated Bodies,"Seamen's Union of America, International","Furuseth, Andrew"
American Federation of Labor and Affiliated Bodies,"Seamen's Union of America, International","Gill, Peter B."
American Federation of Labor and Affiliated Bodies,"Seamen's Union of America, International","Nolan, Kieran B."
American Federation of Labor and Affiliated Bodies,"Seamen's Union of America, International","Olander, Victor A."
American Federation of Labor and Affiliated Bodies,"Seamen's Union of America, International","Pryor, Percy J."
American Federation of Labor and Affiliated Bodies,"Seamen's Union of America, International","Scharrenberg, P."
American Federation of Labor and Affiliated Bodies,Sheet Metal Workers' International Association,"Hynes, John J."
American Federation of Labor and Affiliated Bodies,Sheet Metal Workers' International Association,"Sullivan, Wm. L."
American Federation of Labor and Affiliated Bodies,"Siderographers, International Association of","Heffern, Joseph L."
American Federation of Labor and Affiliated Bodies,"Siderographers, International Association of","Nicholl, Robert"
American Federation of Labor and Affiliated Bodies,"Steam and Operating Engineers, International Union of","Cronin, Mark J."
American Federation of Labor and Affiliated Bodies,"Steam and Operating Engineers, International Union of","Evans, Dave"
American Federation of Labor and Affiliated Bodies,"Steam and Operating Engineers, International Union of","Huddell, Arthur M."
American Federation of Labor and Affiliated Bodies,"Steel and Copper Plate Engravers' League, International","Barnes, William A."
American Federation of Labor and Affiliated Bodies,"Steel and Copper Plate Engravers' League, International","Nortine, Harry"
American Federation of Labor and Affiliated Bodies,"Stereotypers' and Electrotypers' Union of North America, International","Apy, Martin B."
American Federation of Labor and Affiliated Bodies,"Stereotypers' and Electrotypers' Union of North America, International","Frey, J. F."
American Federation of Labor and Affiliated Bodies,"Stereotypers' and Electrotypers' Union of North America, International","Keegan, Winfield T."
American Federation of Labor and Affiliated Bodies,"Stereotypers' and Electrotypers' Union of North America, International","McCormick, William E."
American Federation of Labor and Affiliated Bodies,"Stereotypers' and Electrotypers' Union of North America, International","Reynolds, Thomas P."
American Federation of Labor and Affiliated Bodies,"Stereotypers' and Electrotypers' Union of North America, International","Simmer, Charles A."
American Federation of Labor and Affiliated Bodies,"Stereotypers' and Electrotypers' Union of North America, International","White, James M."
American Federation of Labor and Affiliated Bodies,"Stonecutters' Association of North America, Journeymen","Blasey, Joseph"
American Federation of Labor and Affiliated Bodies,"Stonecutters' Association of North America, Journeymen","Mitchell, M. W."
American Federation of Labor and Affiliated Bodies,Stove Mounters' International Union,"Funderburk, Walter L."
American Federation of Labor and Affiliated Bodies,Stove Mounters' International Union,"Grimshaw, Frank"
American Federation of Labor and Affiliated Bodies,Stove Mounters' International Union,"Kaiser, Edwin W."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Pallentine, John W."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Bland, L. D."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Hoover, Fred A."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Jones, Albert E."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Mahon, William D."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","McGrath, Patrick J."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Reardon, John H."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Taylor, C. U."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Welch, William F."
American Federation of Labor and Affiliated Bodies,"Street and Electric Railway Employees of America, Amalgamated Adsoclatlon of","Wiley, John I."
American Federation of Labor and Affiliated Bodies,Switchmen's Union of North America,"Cashen, Thomas C."
American Federation of Labor and Affiliated Bodies,Switchmen's Union of North America,"Connors, James M."
American Federation of Labor and Affiliated Bodies,Switchmen's Union of North America,"Perry, John M."
American Federation of Labor and Affiliated Bodies,Switchmen's Union of North America,"Thompson, Willnrd H."
American Federation of Labor and Affiliated Bodies,Switchmen's Union of North America,Welch. Maurice R.
American Federation of Labor and Affiliated Bodies,"Tailors' Union of America, Journeymen","Reznicek, William"
American Federation of Labor and Affiliated Bodies,"Tailors' Union of America, Journeymen","Robel, Carl B."
American Federation of Labor and Affiliated Bodies,"Tailors' Union of America, Journeymen","Sillins, Max J."
American Federation of Labor and Affiliated Bodies,"Tailors' Union of America, Journeymen","Sweeney, Thomas"
American Federation of Labor and Affiliated Bodies,"Tailors' Union of America, Journeymen","Tesar, John W."
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Allen, Lucie W."
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Baker, Mary C."
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Borchardt, Selma M."
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Colby, Josephine"
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of","Herstein, Lillian"
American Federation of Labor and Affiliated Bodies,"Teachers, American Federation of",Lefkowitz Abraham
